date,fear_greed_index
2018-02-19,67
2018-02-20,74
2018-02-21,54
2018-02-22,44
2018-02-23,39
2018-02-24,31
2018-02-25,33
2018-02-26,37
2018-02-27,44
2018-02-28,41
2018-03-01,38
2018-03-02,47
2018-03-03,56
2018-03-04,44
2018-03-05,55
2018-03-06,59
2018-03-07,37
2018-03-08,39
2018-03-09,37
2018-03-10,39
2018-03-11,40
2018-03-12,41
2018-03-13,41
2018-03-14,40
2018-03-15,32
2018-03-16,33
2018-03-17,31
2018-03-18,29
2018-03-19,29
2018-03-20,37
2018-03-21,36
2018-03-22,36
2018-03-23,28
2018-03-24,32
2018-03-25,30
2018-03-26,31
2018-03-27,24
2018-03-28,24
2018-03-29,18
2018-03-30,12
2018-03-31,16
2018-04-01,16
2018-04-02,11
2018-04-03,22
2018-04-04,22
2018-04-05,17
2018-04-06,19
2018-04-07,20
2018-04-08,17
2018-04-09,21
2018-04-10,18
2018-04-11,20
2018-04-12,18
2018-04-13,23
2018-04-17,26
2018-04-18,24
2018-04-19,25
2018-04-20,26
2018-04-21,32
2018-04-22,31
2018-04-23,28
2018-04-24,29
2018-04-25,64
2018-04-26,47
2018-04-27,55
2018-04-28,54
2018-04-29,61
2018-04-30,59
2018-05-01,56
2018-05-02,52
2018-05-03,55
2018-05-04,56
2018-05-05,63
2018-05-06,67
2018-05-07,56
2018-05-08,62
2018-05-09,53
2018-05-10,63
2018-05-11,41
2018-05-12,44
2018-05-13,40
2018-05-14,40
2018-05-15,40
2018-05-16,32
2018-05-17,31
2018-05-18,37
2018-05-19,31
2018-05-20,32
2018-05-21,41
2018-05-22,30
2018-05-23,26
2018-05-24,27
2018-05-25,25
2018-05-26,23
2018-05-27,19
2018-05-28,22
2018-05-29,16
2018-05-30,38
2018-05-31,25
2018-06-01,24
2018-06-02,27
2018-06-03,40
2018-06-04,41
2018-06-05,26
2018-06-06,42
2018-06-07,38
2018-06-08,40
2018-06-09,39
2018-06-10,24
2018-06-11,15
2018-06-12,19
2018-06-13,19
2018-06-14,17
2018-06-15,26
2018-06-16,22
2018-06-17,23
2018-06-18,27
2018-06-19,32
2018-06-20,34
2018-06-21,37
2018-06-22,28
2018-06-23,17
2018-06-24,15
2018-06-25,16
2018-06-26,21
2018-06-27,18
2018-06-28,20
2018-06-29,16
2018-06-30,22
2018-07-01,27
2018-07-02,27
2018-07-03,31
2018-07-04,33
2018-07-05,37
2018-07-06,34
2018-07-07,34
2018-07-08,38
2018-07-09,39
2018-07-10,37
2018-07-11,29
2018-07-12,33
2018-07-13,29
2018-07-14,29
2018-07-15,32
2018-07-16,36
2018-07-17,39
2018-07-18,42
2018-07-19,44
2018-07-20,47
2018-07-21,43
2018-07-22,46
2018-07-23,44
2018-07-24,49
2018-07-25,54
2018-07-26,53
2018-07-27,47
2018-07-28,54
2018-07-29,54
2018-07-30,53
2018-07-31,48
2018-08-01,39
2018-08-02,39
2018-08-03,36
2018-08-04,31
2018-08-05,23
2018-08-06,25
2018-08-07,25
2018-08-08,23
2018-08-09,19
2018-08-10,21
2018-08-11,18
2018-08-12,18
2018-08-13,21
2018-08-14,16
2018-08-15,18
2018-08-16,21
2018-08-17,19
2018-08-18,24
2018-08-19,27
2018-08-20,26
2018-08-21,19
2018-08-22,21
2018-08-23,18
2018-08-24,19
2018-08-25,22
2018-08-26,19
2018-08-27,18
2018-08-28,19
2018-08-29,19
2018-08-30,22
2018-08-31,17
2018-09-01,21
2018-09-02,18
2018-09-03,19
2018-09-04,26
2018-09-05,17
2018-09-06,14
2018-09-07,17
2018-09-08,18
2018-09-09,13
2018-09-10,15
2018-09-11,18
2018-09-12,14
2018-09-13,20
2018-09-14,23
2018-09-15,24
2018-09-16,28
2018-09-17,25
2018-09-18,21
2018-09-19,24
2018-09-20,24
2018-09-21,31
2018-09-22,35
2018-09-23,38
2018-09-24,43
2018-09-25,37
2018-09-26,37
2018-09-27,42
2018-09-28,42
2018-09-29,37
2018-09-30,34
2018-10-01,35
2018-10-02,33
2018-10-03,36
2018-10-04,29
2018-10-05,37
2018-10-06,34
2018-10-07,29
2018-10-08,26
2018-10-09,31
2018-10-10,28
2018-10-11,19
2018-10-12,13
2018-10-13,15
2018-10-14,18
2018-10-15,20
2018-10-16,24
2018-10-17,23
2018-10-18,26
2018-10-19,24
2018-10-20,21
2018-10-21,21
2018-10-22,27
2018-10-23,24
2018-10-24,23
2018-10-25,25
2018-10-26,29
2018-10-27,33
2018-10-28,35
2018-10-29,34
2018-10-30,31
2018-10-31,32
2018-11-01,29
2018-11-02,36
2018-11-03,36
2018-11-04,41
2018-11-05,42
2018-11-06,42
2018-11-07,48
2018-11-08,51
2018-11-09,47
2018-11-10,52
2018-11-11,54
2018-11-12,52
2018-11-13,56
2018-11-14,49
2018-11-15,28
2018-11-16,23
2018-11-17,24
2018-11-18,26
2018-11-19,28
2018-11-20,21
2018-11-21,15
2018-11-22,14
2018-11-23,12
2018-11-24,15
2018-11-25,9
2018-11-26,17
2018-11-27,11
2018-11-28,14
2018-11-29,18
2018-11-30,19
2018-12-01,13
2018-12-02,15
2018-12-03,17
2018-12-04,12
2018-12-05,19
2018-12-06,13
2018-12-07,11
2018-12-08,11
2018-12-09,14
2018-12-10,19
2018-12-11,15
2018-12-12,14
2018-12-13,14
2018-12-14,10
2018-12-15,11
2018-12-16,13
2018-12-17,17
2018-12-18,23
2018-12-19,21
2018-12-20,27
2018-12-21,35
2018-12-22,28
2018-12-23,31
2018-12-24,25
2018-12-25,33
2018-12-26,26
2018-12-27,29
2018-12-28,21
2018-12-29,24
2018-12-30,23
2018-12-31,26
2019-01-01,24
2019-01-02,30
2019-01-03,33
2019-01-04,48
2019-01-05,36
2019-01-06,31
2019-01-07,39
2019-01-08,39
2019-01-09,42
2019-01-10,37
2019-01-11,19
2019-01-12,22
2019-01-13,21
2019-01-14,16
2019-01-15,27
2019-01-16,24
2019-01-17,28
2019-01-18,29
2019-01-19,31
2019-01-20,35
2019-01-21,30
2019-01-22,27
2019-01-23,33
2019-01-24,37
2019-01-25,35
2019-01-26,41
2019-01-27,39
2019-01-28,35
2019-01-29,21
2019-01-30,22
2019-01-31,17
2019-02-01,23
2019-02-02,22
2019-02-03,19
2019-02-04,27
2019-02-05,21
2019-02-06,14
2019-02-07,18
2019-02-08,37
2019-02-09,42
2019-02-10,40
2019-02-11,46
2019-02-12,38
2019-02-13,48
2019-02-14,48
2019-02-15,43
2019-02-16,43
2019-02-17,38
2019-02-18,63
2019-02-19,65
2019-02-20,59
2019-02-21,59
2019-02-22,61
2019-02-23,63
2019-02-24,69
2019-02-25,47
