trade_type, price, quantity, total_price, fee, trade_time, created_at, profit_loss_rate, avg_buy_price
0,1585.00000000,63.26678931,100277.86105635,50.13893053,2021-05-08 16:28:24.000000,2025-07-25 14:19:37.703151,,
0,1595.00000000,65.53223388,104523.91303860,52.26195652,2021-05-08 16:21:23.000000,2025-07-25 14:19:37.703151,,
1,834.00000000,66.77810827,55692.94229718,27.84647115,2021-05-08 16:10:11.000000,2025-07-25 14:19:37.703151,11.50,748.00000000
1,9.37000000,5257.62355415,49263.93270239,24.63196635,2021-05-08 15:54:40.000000,2025-07-25 14:19:37.703151,-1.47,9.51000000
0,748.00000000,66.77810827,49950.02498596,24.97501249,2021-05-08 04:59:04.000000,2025-07-25 14:19:37.703151,,
0,9.51000000,5257.62355415,49999.99999997,25.00000000,2021-05-08 04:54:13.000000,2025-07-25 14:19:37.703151,,
1,1425.00000000,88.67194309,126357.51890325,63.17875945,2021-05-21 14:01:54.000000,2025-07-25 14:19:37.703151,-5.32,1505.00000000
0,1505.00000000,88.67194309,133451.27435045,66.72563718,2021-05-21 05:14:05.000000,2025-07-25 14:19:37.703151,,
1,1625.00000000,82.20581067,133584.44233875,66.79222117,2021-05-20 01:52:45.000000,2025-07-25 14:19:37.703151,0.31,1620.00000000
0,1620.00000000,82.20581067,133173.41328540,66.58670664,2021-05-20 01:40:22.000000,2025-07-25 14:19:37.703151,,
1,11500.00000000,11.59186172,133306.40978000,66.65320489,2021-05-19 22:46:38.000000,2025-07-25 14:19:37.703151,3.60,11100.00000000
0,11100.00000000,11.59186172,128669.66509200,64.33483255,2021-05-19 22:41:08.000000,2025-07-25 14:19:37.703151,,
1,1000.00000000,128.79902319,128799.02319000,64.39951160,2021-05-19 21:51:09.000000,2025-07-25 14:19:37.703151,-37.11,1590.08794494
0,243.00000000,727.03565912,176669.66516616,88.33483258,2022-01-14 15:30:18.000000,2025-07-25 14:19:37.703151,,
1,8075.00000000,21.90054884,176846.93188300,88.42346594,2022-01-14 15:29:43.000000,2025-07-25 14:19:37.703151,-11.36,9110.00000000
0,9110.00000000,21.90054884,199513.99993240,99.75699997,2022-01-13 13:55:45.000000,2025-07-25 14:19:37.703151,,
1,9175.00000000,21.76706783,199712.84734025,99.85642367,2022-01-12 21:35:50.000000,2025-07-25 14:19:37.703151,0.38,9140.00000000
0,9140.00000000,21.76706783,198950.99996620,99.47549998,2022-01-12 21:30:07.000000,2025-07-25 14:19:37.703151,,
1,935.00000000,107.29613734,100321.88841290,50.16094421,2022-01-12 20:08:38.000000,2025-07-25 14:19:37.703151,0.32,932.00000000
1,9480.00000000,10.37015452,98309.06484960,49.15453242,2022-01-12 19:33:41.000000,2025-07-25 14:19:37.703151,-0.42,9520.00000000
0,9520.00000000,10.37015452,98723.87103040,49.36193552,2022-01-12 19:25:10.000000,2025-07-25 14:19:37.703151,,
1,9690.00000000,10.25204918,99342.35655420,49.67117828,2022-01-12 19:18:31.000000,2025-07-25 14:19:37.703151,-0.72,9760.00000000
0,9760.00000000,10.25204918,100059.99999680,50.03000000,2022-01-12 19:18:07.000000,2025-07-25 14:19:37.703151,,
1,9840.52175358,10.17829852,100159.76800050,50.07988400,2022-01-12 19:01:12.000000,2025-07-25 14:19:37.703151,0.26,9815.00000000
0,9815.00000000,10.17829852,99899.99997380,49.94999999,2022-01-12 18:58:07.000000,2025-07-25 14:19:37.703151,,
0,932.00000000,107.29613734,100000.00000088,50.00000000,2022-01-12 18:52:23.000000,2025-07-25 14:19:37.703151,,
1,169.00000000,727.03565912,122869.02639128,61.43451320,2022-01-22 15:17:50.000000,2025-07-25 14:19:37.703151,-30.45,243.00000000
0,208.00000000,479.09698996,99652.17391168,49.82608696,2024-10-29 00:00:25.000000,2025-07-25 14:19:37.703151,,
1,0.02413000,4133939.64448119,99751.96362133,49.87598181,2024-10-28 23:59:58.000000,2025-07-25 14:19:37.703151,-0.25,0.02419000
1,1902.00000000,46.01382488,87518.29492176,43.75914746,2024-10-27 22:13:05.000000,2025-07-25 14:19:37.703151,-12.35,2170.00000000
0,2170.00000000,46.01382488,99849.99998960,49.92499999,2024-10-26 03:26:11.000000,2025-07-25 14:19:37.703151,,
0,238250.00000000,0.41972717,99999.99825250,49.99999913,2024-10-26 03:20:56.000000,2025-07-25 14:19:37.703151,,
0,0.02419000,4133939.64448119,100000.00000000,50.00000000,2024-10-26 03:19:44.000000,2025-07-25 14:19:37.703151,,
1,225750.00000000,0.31972717,72178.40862750,36.08920431,2024-11-05 20:14:05.000000,2025-07-25 14:19:37.703151,-5.25,238250.00000000
1,202.60000000,239.54849498,48532.52508295,24.26626254,2024-11-04 03:44:22.000000,2025-07-25 14:19:37.703151,-2.60,208.00000000
1,222.70000000,239.54849498,53347.44983205,26.67372492,2024-11-03 07:07:07.000000,2025-07-25 14:19:37.703151,7.07,208.00000000
1,232700.00000000,0.10000000,23270.00000000,11.63500000,2024-11-01 14:13:24.000000,2025-07-25 14:19:37.703151,-2.33,238250.00000000
0,493.60000000,607.47568881,299849.99999662,149.92500000,2024-12-24 22:39:36.000000,2025-07-25 14:19:37.703151,,
1,484.90000000,200.00000000,96980.00000000,48.49000000,2024-12-27 18:41:35.000000,2025-07-25 14:19:37.703151,-1.76,493.60000000
1,490.00000000,3045.25049701,1492172.74353490,746.08637177,2025-01-13 20:44:41.000000,2025-07-25 14:19:37.703151,-2.58,503.00000000
0,503.00000000,3045.25049701,1531760.99999603,765.88050000,2025-01-13 00:28:46.000000,2025-07-25 14:19:37.703151,,
1,210.60000000,4782.40076518,1007173.60114691,503.58680057,2025-01-09 20:22:05.000000,2025-07-25 14:19:37.703151,0.72,209.10000000
0,209.10000000,4782.40076518,999999.99999914,500.00000000,2025-01-09 20:09:00.000000,2025-07-25 14:19:37.703151,,
1,9468.00000000,101.86411327,964449.42444036,482.22471222,2025-01-09 20:07:49.000000,2025-07-25 14:19:37.703151,-3.56,9817.00000000
0,9817.00000000,101.86411327,999999.99997159,499.99999999,2025-01-09 20:02:01.000000,2025-07-25 14:19:37.703151,,
1,498.66807056,1992.03187250,993362.69036212,496.68134518,2025-01-09 17:11:27.000000,2025-07-25 14:19:37.703151,-0.66,502.00000000
0,502.00000000,1992.03187250,999999.99999500,500.00000000,2025-01-09 04:46:11.000000,2025-07-25 14:19:37.703151,,
1,536.31377730,5882.49089283,3154860.91066260,1577.43045533,2025-01-08 02:38:58.000000,2025-07-25 14:19:37.703151,-1.40,543.92451400
0,547.66989465,5475.01520402,2998500.99999503,1499.25050000,2025-01-08 01:29:04.000000,2025-07-25 14:19:37.703151,,
0,555.90000000,5032.12448282,2797357.99999964,1398.67900000,2025-01-21 23:15:37.000000,2025-07-25 14:19:37.703151,,
1,548.56359296,5104.52600102,2800157.12347235,1400.07856174,2025-01-21 23:08:58.000000,2025-07-25 14:19:37.703151,-0.39,550.70000000
0,550.70000000,5104.52600102,2811062.46876171,1405.53123438,2025-01-21 23:07:05.000000,2025-07-25 14:19:37.703151,,
1,553.20196598,5086.52347290,2813874.78520828,1406.93739260,2025-01-21 22:29:36.000000,2025-07-25 14:19:37.703151,0.27,551.70000000
0,551.70000000,5086.52347290,2806234.99999893,1403.11750000,2025-01-21 22:27:27.000000,2025-07-25 14:19:37.703151,,
1,555.60000000,5055.87190527,2809042.43056801,1404.52121528,2025-01-21 22:25:59.000000,2025-07-25 14:19:37.703151,-0.32,557.40000000
0,557.40000000,5055.87190527,2818142.99999750,1409.07150000,2025-01-21 22:24:17.000000,2025-07-25 14:19:37.703151,,
1,561.79118295,5021.37342109,2820963.31425651,1410.48165713,2025-01-21 22:19:13.000000,2025-07-25 14:19:37.703151,-0.05,562.10000000
0,562.10000000,5021.37342109,2822513.99999469,1411.25700000,2025-01-21 22:15:51.000000,2025-07-25 14:19:37.703151,,
1,559.24119770,5052.09120536,2825337.53658501,1412.66876829,2025-01-21 22:11:57.000000,2025-07-25 14:19:37.703151,0.03,559.09244018
0,559.09244018,5052.09120536,2824585.99999577,1412.29300000,2025-01-21 22:10:07.000000,2025-07-25 14:19:37.703151,,
1,568.30000000,4975.21020228,2827411.95795572,1413.70597898,2025-01-21 22:05:19.000000,2025-07-25 14:19:37.703151,-0.04,568.50000000
0,568.50000000,4975.21020228,2828406.99999618,1414.20350000,2025-01-21 22:00:45.000000,2025-07-25 14:19:37.703151,,
1,564.47054808,5015.73842652,2831236.61865718,1415.61830933,2025-01-21 21:34:30.000000,2025-07-25 14:19:37.703151,0.11,563.86851935
0,563.86851935,5015.73842652,2828216.99999702,1414.10850000,2025-01-21 21:19:06.000000,2025-07-25 14:19:37.703151,,
1,4665.00000000,606.86962106,2831046.78224490,1415.52339112,2025-01-21 21:03:22.000000,2025-07-25 14:19:37.703151,-0.13,4671.00000000
0,4671.00000000,606.86962106,2834687.99997126,1417.34399999,2025-01-21 21:00:51.000000,2025-07-25 14:19:37.703151,,
1,575.40000000,4931.39436141,2837524.31555531,1418.76215778,2025-01-21 20:57:57.000000,2025-07-25 14:19:37.703151,-2.28,588.80000000
0,588.80000000,4931.39436141,2903604.99999821,1451.80250000,2025-01-21 20:46:56.000000,2025-07-25 14:19:37.703151,,
1,541.80000000,5364.54450397,2906510.21225095,1453.25510613,2025-01-21 11:42:49.000000,2025-07-25 14:19:37.703151,0.00,541.82102466
0,541.82102466,5364.54450397,2906622.99999574,1453.31150000,2025-01-21 03:11:09.000000,2025-07-25 14:19:37.703151,,
1,531.10133655,5478.29755849,2909531.15533074,1454.76557767,2025-01-21 02:42:10.000000,2025-07-25 14:19:37.703151,-4.78,557.79007390
0,557.79007390,5478.29755849,3055739.99999645,1527.87000000,2025-01-16 22:13:52.000000,2025-07-25 14:19:37.703151,,
1,4705.00000000,650.11627545,3058797.07599225,1529.39853800,2025-01-16 21:16:13.000000,2025-07-25 14:19:37.703151,-0.21,4714.81351220
0,4714.81351220,650.11627545,3065176.99999484,1532.58850000,2025-01-16 20:59:07.000000,2025-07-25 14:19:37.703151,,
1,288804.54672142,10.62394658,3068244.07642950,1534.12203821,2025-01-16 00:23:27.000000,2025-07-25 14:19:37.703151,0.63,286985.06482052
0,286985.06482052,10.62394658,3048913.99791100,1524.45699896,2025-01-15 23:23:56.000000,2025-07-25 14:19:37.703151,,
1,536.40000000,5689.71724265,3051964.32895746,1525.98216448,2025-01-15 23:17:56.000000,2025-07-25 14:19:37.703151,-0.87,541.10000000
0,541.10000000,5689.71724265,3078705.99999792,1539.35300000,2025-01-15 22:53:32.000000,2025-07-25 14:19:37.703151,,
1,540.00000000,5707.01151560,3081786.21842400,1540.89310921,2025-01-15 22:41:55.000000,2025-07-25 14:19:37.703151,0.30,538.40000000
0,538.40000000,5707.01151560,3072654.99999904,1536.32750000,2025-01-15 22:30:20.000000,2025-07-25 14:19:37.703151,,
0,240600.00000000,6.37228179,1533170.99867400,766.58549934,2025-03-04 00:44:03.000000,2025-07-25 14:19:37.703151,,
1,238700.00000000,6.42943222,1534705.47091400,767.35273546,2025-03-04 00:34:03.000000,2025-07-25 14:19:37.703151,0.02,238650.00000000
0,238650.00000000,6.42943222,1534383.99930300,767.19199965,2025-03-04 00:18:23.000000,2025-07-25 14:19:37.703151,,
1,240057.28972517,6.39813435,1535918.79135850,767.95939568,2025-03-03 23:53:29.000000,2025-07-25 14:19:37.703151,-2.85,247100.00000000
0,247100.00000000,6.39813435,1580978.99788500,790.48949894,2025-03-03 22:20:44.000000,2025-07-25 14:19:37.703151,,
1,236950.00000000,6.67887991,1582560.59467450,791.28029734,2025-03-03 17:53:03.000000,2025-07-25 14:19:37.703151,-1.80,241290.15950513
0,241290.15950513,6.67887991,1611547.99879950,805.77399940,2025-03-03 16:28:42.000000,2025-07-25 14:19:37.703151,,
1,239500.00000000,6.73553523,1613160.68758500,806.58034379,2025-03-03 15:58:15.000000,2025-07-25 14:19:37.703151,-0.44,240550.00000000
0,240550.00000000,6.73553523,1620232.99957650,810.11649979,2025-03-03 00:38:59.000000,2025-07-25 14:19:37.703151,,
1,322.30000000,5032.12448282,1621853.72081289,810.92686041,2025-03-03 00:38:47.000000,2025-07-25 14:19:37.703151,-42.02,555.90000000
0,3265.00000000,472.08116385,1541344.99997025,770.67249999,2025-05-10 08:13:14.000000,2025-07-25 14:19:37.703151,,
1,241900.00000000,6.37228179,1541454.96500100,770.72748250,2025-05-10 08:12:44.000000,2025-07-25 14:19:37.703151,0.54,240600.00000000
0,0.02035000,1213103.52194909,24686.65667166,12.34332834,2025-05-23 21:57:26.000000,2025-07-25 14:19:37.703151,,
1,0.02050000,1205437.22293748,24711.46307022,12.35573154,2025-05-23 21:56:52.000000,2025-07-25 14:19:37.703151,-0.15,0.02053000
0,0.02053000,1205437.22293748,24747.62618691,12.37381309,2025-05-23 21:55:15.000000,2025-07-25 14:19:37.703151,,
1,151288000.00000000,0.00016374,24771.89712000,12.38594856,2025-05-23 21:50:48.000000,2025-07-25 14:19:37.703151,,
1,0.00000513,32.00000000,0.00016416,0.00000041,2025-05-23 21:49:40.000000,2025-07-25 14:19:37.703151,,
0,317.00000000,168.75709779,53495.99999943,26.74800000,2025-05-28 22:38:25.000000,2025-07-25 14:19:37.703151,,
1,214.20000000,250.00000000,53550.00000000,26.77500000,2025-05-28 22:13:09.000000,2025-07-25 14:19:37.703151,,
1,314.00000000,16.00000000,5024.00000000,2.51200000,2025-06-22 00:31:23.000000,2025-07-25 14:19:37.703151,-0.95,317.00000000
0,12623.76590911,75.65159294,955007.99992550,477.50399996,2025-07-15 22:23:28.000000,2025-07-25 14:19:37.703151,,
1,4050.00000000,236.04058192,955964.35677600,477.98217839,2025-07-14 23:37:16.000000,2025-07-25 14:19:37.703151,24.04,3265.00000000
0,1420.00000000,175.96830985,249874.99998700,124.93749999,2025-07-22 23:29:34.000000,2025-07-25 14:19:37.703151,,
0,13510.00000000,77.53391993,1047483.25825430,523.74162913,2025-07-16 21:30:34.000000,2025-07-25 14:19:37.703151,,
1,13860.00000000,75.65159294,1048531.07814840,524.26553907,2025-07-16 21:00:25.000000,2025-07-25 14:19:37.703151,9.79,12623.76590911
0,5003000.00000000,0.00105856,5295.97568000,2.64798784,2025-07-25 18:02:46.000000,2025-07-25 14:19:37.703151,,
1,243600.00000000,0.08701150,21196.00140000,10.59800070,2025-07-25 18:02:20.000000,2025-07-25 14:19:37.703151,-0.87,245750.00000000
0,1358.59109761,479.02639811,650800.99999468,325.40050000,2025-07-25 14:54:18.000000,2025-07-25 14:19:37.703151,,
